year,division,status,project,project_raw,total,state_gf,gifts,debt,other_funds
2023,Academic Division,In Planning/Design,Fontaine Research Park Parking Garage,Fontaine Research Park ParkingGarage,61.0,,,46.65,14.35
2023,Academic Division,In Planning/Design,Fontaine Research Park Roadway Infrastructure,Fontaine Research Park RoadwayInfrastructure,10.0,,,,10.0
2023,Academic Division,Under Construction,Football Operations Center,Football Operations Center,80.0,,26.2,29.5,24.3
2023,Academic Division,Under Construction,Gaston House & Ramazani House,Gaston House & Ramazani House,114.0,,,63.02,50.98
2023,Academic Division,In Planning/Design,Institute of Biotechnology,Institute of Biotechnology,350.0,,100.0,250.0,
2023,Academic Division,Under Construction,Ivy Corridor Landscape & Infrastructure Phase IIA,IvyCorridor Landscape & Infrastructure Phase IIA,11.8,,,,11.8
2023,Academic Division,Under Construction,Ivy Corridor Landscape and Infrastructure Phase I,IvyCorridor Landscape and Infrastructure Phase I,60.0,,,56.0,4.0
2023,Academic Division,In Planning/Design,Karsh Institute of Democracy (includes Batten),Karsh Institute of Democracy (includes Batten),80.0,,5.0,75.0,
2023,Academic Division,Under Construction,Low Temperature Hot Water Conversion,Low Temperature Hot Water Conversion,38.49,,,34.5,3.99
2023,Academic Division,In Planning/Design,Mem Gym Infrastructure & Accessibility Renewal,Mem Gym Infrastructure & AccessibilityRenewal,20.5,,,20.5,
2023,Academic Division,In Planning/Design,Monroe Hall Addition HVAC Renewal,Monroe Hall Addition HVAC Renewal,9.0,,,4.5,4.5
2023,Academic Division,In Planning/Design,North Grounds Parking Garage,North Grounds ParkingGarage,50.0,,,42.8,7.2
2023,Academic Division,In Planning/Design,Old Cabell Hall Renewal,Old Cabell Hall Renewal,60.0,60.0,,,
2023,Academic Division,Under Construction,Olympic Sports Center,Olympic Sports Center,75.0,,,75.0,
2023,Academic Division,Under Construction,Physics Building Classrooms,Physics BuildingClassrooms,7.0,1.0,,,6.0
2023,Academic Division,Under Construction,Physics Building Renewal,Physics BuildingRenewal,62.51,60.42,,,2.09
2023,Academic Division,In Planning/Design,Pinn Hall Integrated Spatial Biology Core Consortium,Pinn Hall Integrated Spatial BiologyCore Consortium,8.5,,8.0,,0.5
2023,Academic Division,In Planning/Design,Public Safety Building (planning/design),Public SafetyBuilding (planning/design),1.5,,,,1.5
2023,Academic Division,In Planning/Design,Replacement of the Chemistry Addition Chillers,Replacement of the ChemistryAddition Chillers,10.0,,,10.0,
2023,Academic Division,In Planning/Design,Replacement of the Video Scoreboard at Scott Stadium,Replacement of the Video Scoreboard at Scott Stadium,13.4,,5.4,,8.0
2023,Academic Division,In Planning/Design,Research Computing Data Center(planning/design),Research ComputingData Center(planning/design),3.0,,,,3.0
2023,Academic Division,In Planning/Design,School of Architecture Center for Design(planning/design),School of Architecture Center for Design(planning/design),4.0,,4.0,,
2023,Academic Division,Under Construction,School of Data Science,School of Data Science,53.5,,5.5,48.0,
2023,Academic Division,In Planning/Design,Second-year Housing Initiative(planning/design),Second-year HousingInitiative(planning/design),7.0,,,7.0,
2023,Academic Division,Under Construction,Shumway Hall(Mc Intire),ShumwayHall(McIntire),139.7,,25.0,89.7,25.0
2023,Academic Division,In Planning/Design,UVA Museum(planning/design),UVA Museum(planning/design),3.0,,3.0,,
