year,division,status,project,project_raw,total,state_gf,gifts,debt,other_funds
2026,Academic Division,Under Construction,North Grounds Parking Garage,North Grounds ParkingGarage,50.0,,,19.7,30.3
2026,Academic Division,Under Construction,Paul and Diane Manning Institute of Biotechnology,Paul and Diane ManningInstitute of Biotechnology,380.6,,100.0,250.0,30.6
2026,Academic Division,Under Construction,Replacement of the Chemistry Addition Chillers,Replacement of the ChemistryAddition Chillers,12.0,,,12.0,
2026,Academic Division,Pending Future Funding,School of Architecture Center for Design(planning/design),School of Architecture Center for Design(planning/design),4.0,,4.0,,
2026,Academic Division,In Planning/Design,School of Data Science and Entrepreneurship Building,School of Data Science and EntrepreneurshipBuilding,77.0,,20.0,42.0,15.0
2026,Academic Division,In Planning/Design,Steele Wing Renovation(School of Medicine),Steele WingRenovation(School of Medicine),30.0,,,,30.0
2026,Academic Division,Under Construction,The Park Renovation(UVA Recreation),The Park Renovation(UVA Recreation),10.0,,,8.0,2.0
2026,Academic Division,Pending Future Funding,UVA Copeley Childcare Center Expansion(planning/design),UVA CopeleyChildcare Center Expansion(planning/design),1.5,,,,1.5
2026,College at Wise,Pending Future Funding,Bowers-Sturgill Hall Renovation,Bowers-Sturgill Hall Renovation,13.6,13.6,,,
2026,College at Wise,Pending Future Funding,Campus Welcome Center/Public Safety Facility,Campus Welcome Center/Public SafetyFacility,5.8,5.8,,,
2026,College at Wise,In Planning/Design,Darden Hall Renovation,Darden Hall Renovation,35.9,35.9,,,
2026,College at Wise,Pending Future Funding,Sandridge Science Center Lab Wing Renovation,Sandridge Science Center Lab WingRenovation,40.5,40.5,,,
2026,College at Wise,Pending Future Funding,Technology Classroom Building,Technology Classroom Building,78.4,78.4,,,
2026,College at Wise,Pending Future Funding,Zehmer Hall Renovation,Zehmer Hall Renovation,27.3,27.3,,,
2026,UVA Health System,In Planning/Design,Cardiac PET/CT Suite-500 Ray C. Hunt,Cardiac PET/CT Suite-500 Ray C. Hunt,5.5,,,,5.5
2026,UVA Health System,In Planning/Design,Consumer Ambulatory Clinic (tenant fit-out),Consumer Ambulatory Clinic (tenant fit-out),25.0,,,,25.0
2026,UVA Health System,In Planning/Design,Core Lab Renovations (planning/design),Core Lab Renovations (planning/design),1.25,,,,1.25
2026,UVA Health System,Pending Future Funding,Multi-Disciplinary Ambulatory Clinic Building,Multi-DisciplinaryAmbulatoryClinic Building,155.0,,,77.5,77.5
2026,UVA Health System,In Planning/Design,Satellite Clinical Lab at Town Center IV,Satellite Clinical Lab at Town Center IV,35.0,,,,35.0
2026,UVA Health System,Under Construction,UVA Community Health Gainesville Cancer Center Expansion,UVA CommunityHealth Gainesville Cancer Center Expansion,12.0,,,,12.0
2026,UVA Health System,Under Construction,UVA Encompass Rehabilitation Hospital Renovation & Expansion,UVA Encompass Rehabilitation Hospital Renovation & Expansion,45.0,,,,45.0
2026,UVA Health System,In Planning/Design,University Hospital Image Guided Surgery Suite,UniversityHospital Image Guided SurgerySuite,9.0,,,,9.0
2026,UVA Health System,Under Construction,University Hospital South Tower Fit-Out,UniversityHospital South Tower Fit-Out,120.0,,,,120.0
